X,Y,Z,Name,description,gx_media_links,A prophecy foretold that Metis would give birth to two children,The story of Narcissus is a famous cautionary tale from Greek mythology,This unusual birth is often seen as reflecting her attributes,s how the story goes
13.3311865,-16.4842965,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.3304087,-16.4909171,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.3294539,-16.4937972,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.3288423,-16.4991462,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.3268577,-16.5021088,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.3252645,-16.5041661,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.3219546,-16.5114902,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.3167079,-16.5151113,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.3050966,-16.514659,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
13.2979055,-16.5121081,0,The Birth of Athena,,https://mymaps.usercontent.google.com/hostedimage/m/*/3AKcrxGQaQRoc_m49CmSS1xm_3lYwIPY5h079pIeVWs5IofiXZD7TYZ53VkpowRY0oNlQKRUpFoPwDtylocp6nmmPm-70v8sMXzG3Z28dFdo5RIV_PLAb_XzELazu2y_6IEuhi2b7Qkk4b-z60L9WoIhapVsojvhuFt-D4zAKEaTLWqxjbOKpmWWu1fXjMMP9L4urxtv50CL9Ku-NMctSdajmUDYxihl0SCVpP-q0X-hp-WazRkw7PnZRCQUl878bfw?authuser=0&fife=s16383,"a daughter who would be equal to her father in courage and wisdom, and a son who would eventually overthrow Zeus.",,"her wisdom inherited from Metis and Zeus, her connection to strategic thinking (born from the head), and her warrior nature (born in armor).",<br>
