X,Y,Z,Name,gx_media_links
-109.7244042,37.6358717,0,Foxes Have Holes - Fox Body,
-109.65648,37.6315198,0,Foxes Have Holes - Fox Body,
-109.6569636,37.637374,0,Foxes Have Holes - Fox Body,
-109.7244042,37.6358717,0,Foxes Have Holes - Fox Body,
-108.1687989,37.7443111,0,Foxes Have Holes - Fox Body,
-108.1696971,37.7200913,0,Foxes Have Holes - Fox Body,
-108.1692074,37.7194131,0,Foxes Have Holes - Fox Body,
-108.1687989,37.7443111,0,Foxes Have Holes - Fox Body,
-110.3305292,38.8490182,0,Foxes Have Holes - Fox Body,
-110.4605036,38.8019343,0,Foxes Have Holes - Fox Body,
-110.3844376,38.8238151,0,Foxes Have Holes - Fox Body,
-110.3294906,38.8468075,0,Foxes Have Holes - Fox Body,
-110.3305292,38.8490182,0,Foxes Have Holes - Fox Body,
-109.7244042,37.6358717,0,Foxes Have Holes - Fox Body,
-109.8308674,37.5853452,0,Foxes Have Holes - Fox Body,
-110.0237257,37.7648858,0,Foxes Have Holes - Fox Body,
-110.0525719,37.8324957,0,Foxes Have Holes - Fox Body,
-109.7860162,37.9184082,0,Foxes Have Holes - Fox Body,
-109.6912097,37.9603419,0,Foxes Have Holes - Fox Body,
-109.5331314,37.9913027,0,Foxes Have Holes - Fox Body,
-109.5485606,37.924915,0,Foxes Have Holes - Fox Body,
-109.3826828,38.023045,0,Foxes Have Holes - Fox Body,
-109.396956,37.9508522,0,Foxes Have Holes - Fox Body,
-109.363464,37.7872392,0,Foxes Have Holes - Fox Body,
-109.4114959,37.7391714,0,Foxes Have Holes - Fox Body,
-109.4683663,37.7500968,0,Foxes Have Holes - Fox Body,
-109.5967159,37.7935216,0,Foxes Have Holes - Fox Body,
-109.6213974,37.7576578,0,Foxes Have Holes - Fox Body,
-109.6636729,37.7184927,0,Foxes Have Holes - Fox Body,
-109.6569636,37.637374,0,Foxes Have Holes - Fox Body,
-109.3682818,37.6433702,0,Foxes Have Holes - Fox Body,
-109.1004258,37.5084178,0,Foxes Have Holes - Fox Body,
-108.6690244,37.3621162,0,Foxes Have Holes - Fox Body,
-108.4905217,37.3900308,0,Foxes Have Holes - Fox Body,
-108.3777977,37.4090764,0,Foxes Have Holes - Fox Body,
-108.2818037,37.4253812,0,Foxes Have Holes - Fox Body,
-108.2131099,37.5593665,0,Foxes Have Holes - Fox Body,
-108.1007898,37.6245048,0,Foxes Have Holes - Fox Body,
-108.0719089,37.7583427,0,Foxes Have Holes - Fox Body,
-108.1947711,37.8895846,0,Foxes Have Holes - Fox Body,
-108.4683373,38.1279297,0,Foxes Have Holes - Fox Body,
-108.7162157,38.2183301,0,Foxes Have Holes - Fox Body,
-108.9099335,38.3816662,0,Foxes Have Holes - Fox Body,
-108.8806725,38.4548891,0,Foxes Have Holes - Fox Body,
-108.9965345,38.6676209,0,Foxes Have Holes - Fox Body,
-108.8640395,38.7202891,0,Foxes Have Holes - Fox Body,
-108.6258224,38.47967,0,Foxes Have Holes - Fox Body,
-108.2874384,38.3219836,0,Foxes Have Holes - Fox Body,
-107.9355518,38.2631384,0,Foxes Have Holes - Fox Body,
-107.802193,38.273437,0,Foxes Have Holes - Fox Body,
-107.7896111,38.335431,0,Foxes Have Holes - Fox Body,
-107.8053647,38.4782744,0,Foxes Have Holes - Fox Body,
-107.8982034,38.5791986,0,Foxes Have Holes - Fox Body,
-108.0398168,38.7754463,0,Foxes Have Holes - Fox Body,
-108.1932333,38.7774727,0,Foxes Have Holes - Fox Body,
-108.3919694,38.8496665,0,Foxes Have Holes - Fox Body,
-108.3933116,39.0329606,0,Foxes Have Holes - Fox Body,
-108.8221808,39.3729491,0,Foxes Have Holes - Fox Body,
-108.9573271,39.3806122,0,Foxes Have Holes - Fox Body,
-109.1693031,39.2902536,0,Foxes Have Holes - Fox Body,
-109.4162773,39.1131896,0,Foxes Have Holes - Fox Body,
-109.6525476,38.9766431,0,Foxes Have Holes - Fox Body,
-109.9521081,38.9800702,0,Foxes Have Holes - Fox Body,
-110.1866942,38.8866687,0,Foxes Have Holes - Fox Body,
-110.2123118,38.9913356,0,Foxes Have Holes - Fox Body,
-110.1981277,39.0161668,0,Foxes Have Holes - Fox Body,
-110.2534059,39.0598121,0,Foxes Have Holes - Fox Body,
-110.3531097,39.3653742,0,Foxes Have Holes - Fox Body,
-110.4249674,39.5488926,0,Foxes Have Holes - Fox Body,
-110.6139802,39.6391781,0,Foxes Have Holes - Fox Body,
-110.5701765,39.635653,0,Foxes Have Holes - Fox Body,
-110.6852758,39.7183169,0,Foxes Have Holes - Fox Body,
-111.0482323,39.8047192,0,Foxes Have Holes - Fox Body,
-111.1141752,39.3642975,0,Foxes Have Holes - Fox Body,
-111.3339737,39.0150735,0,Foxes Have Holes - Fox Body,
-111.358805,38.820818,0,Foxes Have Holes - Fox Body,
-111.3235302,38.7118591,0,Foxes Have Holes - Fox Body,
-111.3463976,38.6310177,0,Foxes Have Holes - Fox Body,
-111.4296034,38.5952024,0,Foxes Have Holes - Fox Body,
-111.3956004,38.5665115,0,Foxes Have Holes - Fox Body,
